Code,Airport Name
CNY,Moab UT
COC,Concordia Argentina
COC,Cotarou Benin
COD,Cody/Yellowstone WY
COD,Yellowstone/Cody WY
COG,Condoto Colombia
COK,Cochin India
COR,Cordoba Argentina
COS,Colorado Springs CO
COU,Columbia MO
CPC,San Martin De Los Andes Argentina
CPD,Coober Pedy Australia
CPE,Campeche Mexico
CPH,Copenhagen Denmark
CPI,Cape Orford Papua New Guinea
CPO,Copiapo Chile
CPQ,Campinas Brazil
CPR,Casper WY
CPT,Cape Town South Africa
CPV,Campina Grande Brazil
CRD,Camodoro Argentina
CRI,Crooked Island Bahamas
CRL,Brussels Belguim - Charleroi
CRP,Corpus Christi TX
CRV,Crotone Italy
CRW,Charleston WV
CSG,Columbus GA
CSI,Casino Australia
CST,Castaway Fiji
CSY,Cheboksary Russia
CTA,Catania Italy
CTC,Catamarca Argentina
CTD,Chitre Panama
CTG,Cartagena Colombia
CTL,Charleville Australia
CTM,Chetumal Mexico
CTN,Cooktown Australia
CTS,Sapporo Japan - Chitose
CTU,Chergdu China
CUC,Cucata Colombia
CUE,Cuenca Ecuador
CUL,Culiacan Mexico
CUM,Cumana Venezuela
CUN,Cancun Mexico
CUP,Carupani Venezuela
CUQ,Coen Australia
CUR,Curacao Netherlands Antilles
CUU,Chihuahua Mexico
CUW,Cube Cove AK
CUZ,Cuzco Peru
CVC,Cleve Australia
CVG,Cincinnati OH
CVJ,Cuernavaca Mexico
CVL,Cape Vogel Papua New Guinea
CVM,Ciudad Victoria Mexico
CVN,Clovis NM
CVO,Albany OR - Bus service
CVQ,Carnarvon Australia
CVU,Corvo Island Portugal
CWA,Stevens Point/Wausau WI
CWA,Wausau/Stevens Point WI
CWB,Curitiba Brazil
CWL,Cardiff United Kingdom
CXB,Cox's Bazar Bangladesh
CXH,Vancouver BC - Coal Harbour
CXJ,Caxias Do Sul Brazil
CYB,Cayman Brac Is Cambodia
CYF,Chefornak AK
CYI,Chiayi Taiwan
CYO,Cayo Largo Del Sur Cuba
CYS,Cheyenne WY
CZE,Coro Venezuela
CZH,Corozal Belize
CZL,Constantine Algeria
CZM,Cozumel Mexico
CZN,Chisana AK
CZS,Cruzeiro Do Sul Brazil
CZX,Changzhou China
DAB,Daytona Beach FL
DAC,Dhaka Bangledesh - Zia International
DAD,Da Nang Viet Nam
DAL,Dallas TX - Love Field
DAM,Damascus Syrian Arab Republic
DAR,Dar Es Salaam Tanzania
DAU,Daru Papua New Guinea
DAV,David Panama
DAX,Daxian China
DAY,Dayton OH
DBM,Debra Marcos Ethiopia
DBO,Dubbo Australia
DBQ,Dubuque IA
DBT,Debra Tabor Ethiopia
DBV,Dubrovnik Croatia
DCA,Washington DC - National
